Name,Year,Exp,Age,Tm,Pos,G,Gs,Mp,Fg,FgA,Fg%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,Ast,Stl,Blk,Tov,PF,Pts
Chris Andersen,2003.0,1.0,24.0,0.0,5.0,59.0,3.0,15.4,1.9,4.8,0.4,0.0,0.0,0.0,1.9,4.8,0.401,0.4,1.3,2.4,0.55,1.8,2.8,4.6,0.5,0.5,1.0,1.0,1.5,5.2,
Chris Andersen,2004.0,2.0,25.0,0.0,4.0,71.0,0.0,14.5,1.3,2.9,0.443,0.0,0.0,0.0,1.3,2.8,0.446,0.443,0.9,1.5,0.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,
Chris Andersen,2005.0,3.0,26.0,0.0,5.0,67.0,2.0,21.3,2.9,5.3,0.534,0.0,0.0,0.0,2.9,5.3,0.538,0.534,2.0,2.8,0.689,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7,
Chris Andersen,2006.0,4.0,27.0,0.0,5.0,32.0,2.0,17.8,1.8,3.1,0.571,0.0,0.0,0.0,1.8,3.1,0.571,0.571,1.5,3.2,0.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6,5.0,
Chris Andersen,2008.0,5.0,29.0,0.0,5.0,5.0,0.0,6.8,0.4,1.4,0.286,0.0,0.0,0.0,0.4,1.4,0.286,0.286,0.4,0.8,0.5,0.4,1.4,1.8,0.0,0.0,0.8,0.2,1.2,1.2,
Chris Andersen,2009.0,6.0,30.0,0.0,5.0,71.0,1.0,20.6,2.3,4.1,0.548,0.0,0.1,0.2,2.2,4.0,0.56,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,
Chris Andersen,2010.0,7.0,31.0,0.0,4.0,76.0,0.0,22.3,1.9,3.3,0.566,0.0,0.0,0.0,1.9,3.3,0.573,0.566,2.2,3.1,0.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,
Chris Andersen,2011.0,8.0,32.0,0.0,5.0,45.0,0.0,16.3,1.8,3.0,0.599,0.0,0.0,0.0,1.8,3.0,0.603,0.599,1.9,3.0,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,
Chris Andersen,2012.0,9.0,33.0,0.0,5.0,32.0,1.0,15.2,1.8,3.4,0.546,0.0,0.0,0.0,1.8,3.4,0.546,0.546,1.6,2.6,0.61,1.5,3.1,4.6,0.2,0.6,1.4,0.5,1.6,5.3,
Chris Andersen,2013.0,10.0,34.0,0.0,5.0,42.0,0.0,14.9,1.7,2.9,0.577,0.0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,
Chris Andersen,2014.0,11.0,35.0,0.0,5.0,72.0,0.0,19.4,2.5,3.8,0.644,0.0,0.2,0.25,2.4,3.7,0.662,0.649,1.7,2.3,0.71,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,
Chris Andersen,2015.0,12.0,36.0,0.0,5.0,60.0,20.0,18.9,2.0,3.5,0.58,0.1,0.2,0.308,1.9,3.2,0.598,0.589,1.3,1.9,0.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3,
