,Name,Year,Exp,Age,Tm,Pos,G,Gs,Mp,Fg,FgA,Fg%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,Ast,Stl,Blk,Tov,PF,Pts,BPM
2190,John Lucas III,2014,5,31,0.0,1,42,6,14.1,1.5,4.5,0.326,0.6,2.0,0.298,0.9,2.5,0.349,0.392,0.2,0.4,0.625,0.3,0.6,0.9,1.0,0.3,0.0,0.5,1.0,3.8,-7.0
2191,John Lucas III,2015,6,32,0.0,1,21,0,13.0,2.0,5.0,0.40399999999999997,0.4,1.4,0.31,1.6,3.6,0.44,0.447,0.2,0.2,1.0,0.2,0.6,0.8,2.9,0.4,0.0,0.8,0.9,4.7,-5.5
2192,John Lucas III,2017,7,34,0.0,1,5,0,2.2,0.2,0.8,0.25,0.0,0.2,0.0,0.2,0.6,0.33299999999999996,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4,-5.6
2193,Trey Lyles,2016,0,20,0.0,4,80,33,17.3,2.4,5.5,0.43799999999999994,0.6,1.6,0.38299999999999995,1.8,3.9,0.461,0.494,0.7,1.0,0.695,0.7,3.0,3.7,0.7,0.3,0.2,0.8,1.4,6.1,-2.8
2194,Trey Lyles,2017,1,21,0.0,4,71,4,16.3,2.2,6.2,0.36200000000000004,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1.0,0.4,0.3,0.9,1.4,6.2,-3.0
2195,Sheldon Mac,2017,0,24,0.0,2,30,3,9.6,1.0,2.5,0.4,0.2,1.0,0.233,0.8,1.5,0.511,0.447,0.8,0.9,0.852,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.6,3.0,-3.6
2196,Scott Machado,2013,0,22,0.0,1,6,0,3.5,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.3,0.3,1.0,0.0,0.2,0.2,1.0,0.3,0.0,1.3,0.0,1.3,-15.1
2197,Shelvin Mack,2012,0,21,0.0,1,64,0,12.2,1.4,3.4,0.4,0.2,0.7,0.28600000000000003,1.2,2.8,0.42700000000000005,0.42700000000000005,0.7,0.9,0.7120000000000001,0.2,1.3,1.4,2.0,0.4,0.0,0.8,0.8,3.6,-3.9
2198,Shelvin Mack,2013,1,22,0.5,1,31,3,13.4,1.9,4.1,0.46,0.6,1.6,0.36700000000000005,1.3,2.5,0.519,0.532,0.3,0.5,0.563,0.1,1.2,1.3,2.2,0.5,0.0,1.1,1.3,4.6,-3.9
2199,Shelvin Mack,2014,2,23,0.0,1,73,11,20.4,2.9,6.9,0.41700000000000004,0.8,2.5,0.337,2.0,4.3,0.46399999999999997,0.479,0.9,1.0,0.865,0.3,1.9,2.2,3.7,0.7,0.0,1.2,1.4,7.5,-2.4
2200,Shelvin Mack,2015,3,24,0.0,1,55,0,15.1,2.1,5.3,0.401,0.7,2.3,0.315,1.4,3.0,0.467,0.469,0.5,0.6,0.8059999999999999,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4,-3.1
2201,Shelvin Mack,2016,4,25,0.5,1,52,27,20.3,3.5,8.0,0.439,0.8,2.4,0.312,2.8,5.6,0.493,0.486,0.9,1.2,0.738,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,8.6,-1.2
2202,Shelvin Mack,2017,5,26,0.0,1,55,9,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,-1.8
2203,Vernon Macklin,2012,0,25,0.0,5,23,0,5.9,0.8,1.5,0.5429999999999999,0.0,0.0,0.0,0.8,1.5,0.5429999999999999,0.5429999999999999,0.3,0.6,0.5710000000000001,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,2.0,-0.6
2204,Ian Mahinmi,2008,0,21,0.0,5,6,0,3.8,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.5,1.5,1.0,0.0,0.8,0.8,0.2,0.0,0.7,0.3,0.7,3.5,2.3
2205,Ian Mahinmi,2010,1,23,0.0,5,26,0,6.3,1.3,2.1,0.636,0.0,0.0,0.0,1.3,2.1,0.636,0.636,1.2,1.8,0.66,0.5,1.5,2.0,0.1,0.1,0.3,0.6,1.2,3.9,-3.9
2206,Ian Mahinmi,2011,2,24,0.0,5,56,0,8.7,1.0,1.8,0.561,0.0,0.0,0.0,1.0,1.7,0.573,0.561,1.1,1.5,0.768,0.8,1.4,2.1,0.1,0.3,0.3,0.4,1.9,3.1,-0.6
2207,Ian Mahinmi,2012,3,25,0.0,5,61,12,18.7,2.1,3.9,0.546,0.0,0.0,0.0,2.1,3.9,0.5489999999999999,0.546,1.5,2.4,0.639,1.8,3.0,4.7,0.2,0.6,0.5,0.8,2.9,5.8,-1.2
2208,Ian Mahinmi,2013,4,26,0.0,5,80,2,16.5,1.9,4.1,0.45299999999999996,0.0,0.0,0.0,1.9,4.1,0.456,0.45299999999999996,1.3,2.1,0.608,1.4,2.5,3.9,0.3,0.5,0.8,1.2,2.5,5.0,-2.7
2209,Ian Mahinmi,2014,5,27,0.0,5,77,1,16.2,1.2,2.5,0.48100000000000004,0.0,0.0,0.0,1.2,2.4,0.484,0.48100000000000004,1.2,1.9,0.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5,0.3
2210,Ian Mahinmi,2015,6,28,0.0,5,61,6,18.8,1.9,3.5,0.552,0.0,0.0,0.0,1.9,3.5,0.552,0.552,0.5,1.7,0.304,1.7,4.1,5.8,0.5,0.5,0.8,1.0,2.8,4.3,-1.2
2211,Ian Mahinmi,2016,7,29,0.0,5,71,71,25.6,3.7,6.3,0.589,0.0,0.0,0.0,3.7,6.3,0.589,0.589,1.9,3.2,0.5870000000000001,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3,2.4
2212,Ian Mahinmi,2017,8,30,0.0,5,31,0,17.9,2.1,3.6,0.586,0.0,0.0,0.0,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,0.8
2213,Thon Maker,2017,0,19,0.0,5,57,34,9.9,1.5,3.2,0.45899999999999996,0.5,1.3,0.37799999999999995,1.0,1.9,0.514,0.536,0.6,0.9,0.653,0.7,1.3,2.0,0.4,0.2,0.5,0.3,1.5,4.0,-1.5
2214,Devyn Marble,2015,0,22,0.0,2,16,7,13.0,0.9,2.8,0.318,0.3,1.4,0.182,0.6,1.4,0.455,0.364,0.3,1.0,0.313,0.3,1.6,1.9,1.1,0.6,0.1,0.6,0.9,2.3,-4.5
2215,Devyn Marble,2016,1,23,0.0,2,28,0,8.9,0.8,2.5,0.29600000000000004,0.3,1.1,0.25,0.5,1.4,0.33299999999999996,0.35200000000000004,0.4,0.9,0.41700000000000004,0.2,1.1,1.4,0.4,0.5,0.0,0.3,0.9,2.1,-5.5
2216,Boban Marjanovic,2016,0,27,0.0,5,54,4,9.4,1.9,3.2,0.603,0.0,0.0,0.0,1.9,3.2,0.603,0.603,1.6,2.1,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1.0,5.5,3.6
2217,Boban Marjanovic,2017,1,28,0.0,5,35,0,8.4,2.1,3.8,0.545,0.0,0.0,0.0,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,0.1
2218,Kendall Marshall,2013,0,21,0.0,1,48,3,14.6,1.2,3.1,0.371,0.5,1.5,0.315,0.7,1.6,0.423,0.447,0.2,0.3,0.5710000000000001,0.1,0.8,0.9,3.0,0.5,0.1,1.2,1.0,3.0,-7.3
2219,Kendall Marshall,2014,1,22,0.0,1,54,45,29.0,3.1,7.8,0.406,1.3,3.3,0.39899999999999997,1.8,4.5,0.41100000000000003,0.49,0.4,0.7,0.528,0.3,2.6,2.9,8.8,0.9,0.1,2.8,1.4,8.0,-4.5
2220,Kendall Marshall,2015,2,23,0.0,1,28,3,14.9,1.6,3.6,0.455,0.6,1.6,0.391,1.0,2.0,0.509,0.545,0.3,0.3,0.889,0.1,0.9,1.0,3.1,0.8,0.0,1.3,0.9,4.2,-4.1
2221,Kendall Marshall,2016,3,24,0.0,1,30,6,13.3,1.4,3.9,0.364,0.5,1.6,0.327,0.9,2.3,0.391,0.43200000000000005,0.3,0.4,0.6920000000000001,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1.0,3.7,-8.8
2222,Cartier Martin,2009,0,24,0.0,3,33,1,8.1,0.8,2.3,0.364,0.3,1.0,0.303,0.5,1.3,0.409,0.429,0.6,0.8,0.8,0.2,0.8,1.0,0.4,0.2,0.1,0.3,1.0,2.6,-3.5
2223,Cartier Martin,2010,1,25,0.5,3,18,2,21.7,2.8,7.6,0.368,0.9,2.7,0.34700000000000003,1.8,4.8,0.379,0.43,1.3,1.7,0.8,1.4,2.4,3.8,0.9,0.6,0.1,1.1,2.7,7.8,-4.6
2224,Cartier Martin,2011,2,26,0.0,3,52,1,10.4,1.4,3.5,0.39,0.8,1.9,0.39399999999999996,0.6,1.6,0.386,0.49700000000000005,0.5,0.8,0.7,0.4,1.0,1.4,0.3,0.3,0.1,0.3,1.0,4.0,-3.0
2225,Cartier Martin,2012,3,27,0.0,3,17,2,23.0,3.5,7.9,0.44,1.7,4.4,0.387,1.8,3.5,0.508,0.5489999999999999,0.6,1.1,0.579,0.7,2.7,3.4,0.6,0.6,0.1,0.8,2.1,9.3,-1.6
2226,Cartier Martin,2013,4,28,0.0,3,41,3,16.9,2.3,6.1,0.381,1.4,3.6,0.397,0.9,2.6,0.358,0.496,0.5,0.7,0.7140000000000001,0.3,2.2,2.4,0.5,0.5,0.1,0.8,1.4,6.6,-3.6
2227,Cartier Martin,2014,5,29,0.5,3,59,6,14.7,1.9,4.5,0.42,1.0,2.6,0.391,0.9,1.9,0.46,0.532,0.8,1.1,0.738,0.2,1.6,1.9,0.6,0.5,0.1,0.6,1.2,5.6,-2.8
2228,Cartier Martin,2015,6,30,0.0,3,23,0,8.6,0.7,2.3,0.28300000000000003,0.3,1.4,0.182,0.4,0.9,0.45,0.34,0.0,0.0,0.0,0.0,0.9,0.9,0.5,0.1,0.0,0.2,0.9,1.6,-7.1
2229,Jarell Martin,2016,0,21,0.0,4,27,0,14.1,2.0,4.3,0.466,0.0,0.1,0.0,2.0,4.2,0.474,0.466,1.7,2.3,0.726,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7,-3.2
2230,Jarell Martin,2017,1,22,0.0,4,42,3,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3.0,0.389,0.414,1.0,1.2,0.8,1.0,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,-6.4
